Monto,Cantidad,ITBIS,Descuento
44838.84,10,168.74,200.72
17478.87,14,229.58,229.33
277.79,10,28.4,273.54
47963.47,7,419.95,426.44
48008.8,7,496.17,346.03
36803.73,12,350.08,158.63
42157.16,3,236.33,490.72
46244.63,6,343.19,193.25
49730.28,6,938.52,419.54
17598.97,18,429.53,189.99
7751.37,15,130.35,58.58
732.83,8,505.67,269.11
39574.55,15,697.11,319.39
1695.14,11,691.12,405.12
49418.29,15,352.69,163.49
29958.74,2,932.6,370.6
16527.67,15,235.74,309.15
33474.27,19,569.16,314.85
2072.53,8,850.07,240.05
15393.74,5,316.74,368.62
20875.71,6,879.94,477.47
8910.09,4,486.32,231.14
40565.79,1,163.97,463.39
41368.57,14,735.02,299.76
35838.96,2,113.69,175.02
39127.47,17,76.07,35.55
36360.39,11,822.4,349.13
8329.7,1,930.61,368.78
11685.06,13,930.18,326.88
37257.01,6,769.84,100.79
39571.45,2,138.55,143.85
26223.0,18,188.2,464.98
39222.71,7,316.99,437.19
33825.26,6,453.3,233.64
34301.39,18,736.03,188.77
48415.22,5,687.86,90.0
10645.03,2,56.26,252.7
12838.66,2,664.67,133.07
7986.89,1,302.03,452.14
47908.93,15,648.21,384.49
6821.2,9,582.58,210.4
22716.81,13,481.45,338.21
19256.39,18,990.17,138.64
28160.37,2,525.9,239.7
4113.6,18,188.78,283.79
14006.09,19,544.93,176.16
48723.82,7,823.5,147.16
42565.61,17,901.7,463.94
6688.77,3,675.32,29.55
16916.17,2,531.78,112.26
31475.77,13,951.13,321.61
20478.19,18,955.61,234.25
26789.14,19,631.76,218.09
1972.53,7,718.84,147.79
5900.42,9,394.78,315.72
32433.07,13,620.98,13.42
5044.96,8,289.4,467.74
44157.87,14,276.52,246.91
17779.49,13,61.66,367.19
33454.95,11,447.27,497.79
18069.28,19,643.75,72.69
11012.56,7,973.18,473.35
36816.87,14,684.03,258.96
40606.2,15,695.17,435.98
39436.99,4,615.77,6.34
24720.22,6,987.09,387.58
3458.88,11,826.39,475.23
25983.02,12,177.59,20.55
41721.12,3,72.04,33.31
12043.21,17,312.02,495.09
29729.65,2,100.55,333.86
30941.94,10,479.33,405.41
23762.02,4,693.07,277.8
45655.63,10,228.4,181.21
5263.9,16,525.61,245.57
42204.1,7,544.82,40.8
22558.71,8,37.25,83.11
7764.95,2,299.37,423.69
33314.0,13,250.32,196.17
3786.97,17,47.38,392.85
14729.13,15,309.32,96.71
28912.31,14,655.16,39.71
33814.89,18,423.37,207.09
22069.42,1,625.94,13.86
38157.88,10,57.14,320.02
26311.47,11,391.68,247.94
40764.15,13,458.7,414.93
27827.45,6,580.47,181.84
537.66,12,174.26,349.87
22150.2,12,455.46,13.02
35960.06,2,53.74,383.5
30593.35,11,722.06,21.51
27671.42,17,47.11,118.5
13176.06,3,869.32,342.31
13656.8,8,608.77,349.31
17088.1,18,95.66,400.31
10757.12,3,717.73,52.37
49888.24,9,101.65,395.35
28591.04,5,976.8,400.3
15400.94,7,387.21,245.97
35357.06,15,622.25,107.4
5720.62,3,483.82,89.84
36940.58,5,930.36,127.84
29370.31,5,359.84,342.51
8183.04,18,412.33,140.25
39484.04,4,263.73,236.46
40085.5,12,976.06,402.18
43472.01,11,770.26,403.21
14799.55,18,628.57,478.77
34253.15,2,411.91,150.2
19369.19,15,362.64,413.81
18032.84,16,470.74,418.99
9953.48,19,557.9,449.63
37435.81,3,709.26,57.9
5096.99,10,182.23,469.22
36782.1,18,579.17,136.73
36029.31,2,635.95,265.1
34622.39,2,968.58,190.34
48585.22,8,44.37,289.9
36100.05,16,286.06,189.45
6385.32,16,612.57,158.96
28305.97,10,294.25,13.34
13243.23,1,471.19,228.6
44136.89,3,917.73,228.06
49507.25,7,837.16,68.54
5411.18,6,703.16,168.15
3300.92,10,204.23,358.32
20563.24,15,545.28,6.81
25230.61,1,539.63,282.86
39852.84,3,399.36,235.43
20804.06,2,763.23,216.37
15621.66,19,38.37,172.69
23913.37,10,392.99,76.41
38144.16,14,80.82,428.86
2779.4,8,309.06,364.28
23777.2,14,356.86,470.24
16852.05,15,274.88,163.74
32511.73,12,722.04,219.36
37244.87,3,248.34,425.93
27213.14,2,923.81,169.18
48530.35,13,525.67,464.94
32646.99,6,574.86,40.56
37359.49,8,674.4,212.31
18899.37,3,294.94,26.16
5106.0,15,410.42,197.24
29802.17,5,695.42,340.06
40177.42,3,897.78,17.54
7939.62,10,103.54,324.1
45913.97,15,469.18,39.22
42084.73,3,687.86,466.27
35112.17,11,173.54,30.08
433.7,7,823.85,120.45
8407.38,12,590.41,195.52
9946.67,13,856.27,386.95
41926.57,8,696.35,486.71
45716.41,15,470.15,101.83
7883.9,14,159.19,215.66
14690.0,4,120.83,482.28
23489.63,17,567.23,165.25
18958.36,19,425.19,341.61
14187.03,12,328.57,351.49
28035.12,17,734.62,122.53
24172.81,5,62.76,174.01
34807.2,19,93.4,139.19
641.5,12,820.73,324.21
14995.57,16,279.49,60.35
15439.5,4,696.13,430.43
6894.77,10,829.74,235.13
39698.91,6,394.85,156.82
33358.26,17,645.75,346.58
47141.2,12,685.01,139.17
17355.08,9,735.22,0.83
18407.18,17,859.5,190.64
29339.19,16,97.53,332.53
13804.82,9,782.77,18.2
24377.73,17,422.95,494.49
7620.14,5,546.58,328.64
24642.45,10,900.09,405.54
36226.4,13,643.86,348.99
35653.42,6,260.73,423.11
360.13,10,399.68,323.71
32240.83,7,299.44,490.27
24918.51,19,950.18,485.81
26641.31,10,707.94,265.13
32725.85,12,603.73,412.27
6614.79,9,410.51,147.69
10108.46,17,115.8,311.64
8461.15,16,639.87,101.24
48703.36,3,985.43,108.18
32479.81,11,581.78,177.92
36527.66,10,983.53,331.31
18484.81,14,651.45,323.99
23882.84,7,649.1,151.49
14488.16,10,190.32,408.61
37157.51,7,519.51,332.27
28245.95,3,565.02,449.96
17966.77,11,659.19,154.49
17318.19,17,839.6,147.71
47901.15,7,846.74,92.43
1273.28,4,987.6,295.62
22892.03,12,674.54,418.83
3320.97,17,943.66,233.97
27652.83,12,469.48,399.26
8177.38,8,759.13,198.53
36868.44,16,529.81,217.44
31627.91,14,112.3,36.94
6853.92,14,209.45,284.08
31370.81,4,775.03,466.25
34200.83,10,515.35,472.94
4571.37,1,882.39,30.77
1844.79,6,310.66,480.87
10546.08,8,40.45,5.96
43239.22,14,652.87,151.03
23917.26,1,557.37,271.62
2060.17,15,355.71,445.68
8842.79,11,818.1,267.72
15327.67,13,421.1,472.28
21262.14,19,473.41,56.97
36959.48,1,594.57,381.41
30708.51,5,85.47,344.25
44225.97,19,429.25,119.56
36056.1,16,150.24,233.99
41219.52,18,291.42,19.28
7806.25,10,954.38,269.39
16589.21,2,862.83,93.55
40477.46,1,365.66,212.73
34905.99,3,330.99,330.11
24486.46,15,170.71,121.13
48145.55,3,725.22,243.31
22974.46,13,89.43,452.78
8705.82,5,679.38,51.78
18908.21,16,634.19,101.64
28535.11,7,380.27,312.62
15881.21,19,418.72,33.03
25156.43,6,339.24,400.59
33113.83,14,53.2,216.65
